TÜKETÝCÝ FÝYATLARI ENDEKSÝ (TÜFE);;;;;;;;;;;;;;;;;;;;;;
TÜFE;2008;; 2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;
;Yýllýk Artýþ;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk;Yýllýk;Aylýk
;;Artýþ ;Artýþ;Artýþ ;Artýþ ;Artýþ ;Artýþ ;Artýþ ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ;Artýþ
Ocak;8,17;0,8;9,5;0,29;8,19;1,85;4,9;0,41;10,61;0,56;7,31;1,65;7,75;1,98;7,24;1,1;9,58;1,82;9,22;2,46;10,35;1,02
Þubat;9,1;1,29;7,73;-0,34;10,13;1,45;4,16;0,73;10,43;0,56;7,03;0,3;7,89;0,43;7,55;0,71;8,78;0,02;10,13;0,81;10,26;0,73
Mart;9,15;0,96;7,89;1,1;9,56;0,58;3,99;0,42;10,43;0,41;7,29;0,66;8,39;   0,13;7,61;1,19;7,46;-0,04;11,29;1,02;10,23;0,99
Nisan;9,66;1,68;6,13;0,02;10,19;0,6;4,26;0,87;11,14;1,52;6,13;0,42;9,38;1,34;7,91;1,63;6,57;0,78;11,87;1,31;10,85;1,87
Mayýs;10,74;1,49;5,24;0,64;9,1;-0,36;7,17;2,42;8,28;-0,21;6,51;0,15;9,66;0,4;8,09;0,56;6,58;0,58;11,72;0,45;12,15;1,62
Haziran;10,61;-0,36;5,73;0,11;8,37;-0,56;6,24;-1,43;8,87;-0,9;8,3;0,76;9,16;0,31;7,2;-0,51;7,64;0,47;10,9;-0,27;15,39;2,61
Temmuz;12,06;0,58;5,39;0,25;7,58;-0,48;6,31;-0,41;9,07;-0,23;8,88;0,31;9,32;0,45;6,81;0,09;8,05; -0,29;9,79;0,15;15,85;0,55
Aðustos;11,77;-0,24;5,33;-0,3;8,33;0,4;6,65;0,73;8,88;0,56;8,17;-0,1;9,54;0,09;7,14;0,4;8,79;1,16;10,68;0,52;17,9;2,3
Eylül;11,13;0,45;5,27;0,39;9,24;1,23;6,15;0,75;9,19;1,03;7,88;0,77;8,86;0,14;7,95;0,89;7,28;0,18;7,29;0,65;24,52;6,3
Ekim;11,99;2,6;5,08;2,41;8,62;1,83;7,66;3,27;7,8;1,96;7,71;1,8;8,96;1,9;7,58;1,55;7,16;1,44;11,9;2,08;;
Kasým;10,76;0,83;5,53;1,27;7,29;0,03;9,48;1,73;6,37;0,38;7,32;0,01;9,15;0,18;8,1;0,67;7;0,52;12,98;1,49;;
Aralýk;10,06;-0,41;6,53;0,53;6,4;-0,3;10,45;0,58;6,16;0,38;7,4;0,46;8,17;-0,44;8,81;0,21;8,53;1,64;11,92;0,69;;
ÜRETÝCÝ FÝYATLARI ENDEKSÝ (ÜFE);;;;;;;;;;;;;;;;;;;;;;
ÜFE;2008;;   2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;
